cid,name,path
1205,耳机/耳麦,"影音电器,耳机/耳麦"
2203,其它,"户外/登山/野营/旅行用品,其它"
110520,鼠标垫/贴/腕垫,"电脑硬件/显示器/电脑周边,电脑周边,鼠标垫/贴/腕垫"
120802,耳机配件,"3C数码配件,MP3/MP4配件,耳机配件"
150701,手机挂件/手机链,"3C数码配件,手机配件,手机饰品,手机挂件/手机链"
150704,手机保护套/壳,"3C数码配件,手机配件,手机保护套/壳"
150708,手机支架/手机座,"3C数码配件,手机配件,手机支架/手机座"
210211,伞,"居家日用,伞/雨具/防雨/防潮,伞"
211703,橡皮,"电子词典/电纸书/文化用品,日常学习用品,橡皮"
211707,其它文化用品,"电子词典/电纸书/文化用品,其它文化用品"
211708,计算器,"电子词典/电纸书/文化用品,计算器"
213002,靠垫/抱枕,"居家布艺,靠垫/抱枕"
213201,浴帽,"家庭/个人清洁工具,个人洗护清洁用具,浴帽"
215201,其它,"厨房/烹饪用具,烹饪用具,其它"
280903,台历,"个性定制/设计服务/DIY,日用/装饰定制,个性台历/年历,台历"
290905,其它,"ZIPPO/瑞士军刀/眼镜,烟具,其它"
350310,毛球修剪器,"生活电器,毛球修剪器"
350407,加湿器,"生活电器,加湿器"
350615,接线板,"电子/电工,接线板/插头,接线板"
350712,体重秤/健康秤,"个人护理/保健/按摩器材,体重秤/健康秤"
50000346,其它,"餐饮具,其它"
50000563,毛巾/面巾,"居家布艺,毛巾/浴巾/浴袍,毛巾/面巾"
50000566,调味瓶罐,"厨房/烹饪用具,厨用小工具/厨房储物,储物瓶罐/厨房储物器皿,调味瓶罐"
50000570,其它,"家庭/个人清洁工具,个人洗护清洁用具,指甲刀/指甲钳,其它"
50000583,地垫,"居家布艺,地垫"
50001423,其它,"商业/办公家具,其它"
50001691,纸巾套,"收纳整理,家庭收纳用具,收纳套,纸巾套"
50002085,果盆/果盘/果篮,"餐饮具,餐具,果盆/果盘/果篮"
50002664,其它,"孕妇装/孕产妇用品/营养,孕妇装,其它"
50002711,收纳箱,"收纳整理,家庭收纳用具,储物箱,收纳箱"
50002713,压缩袋,"收纳整理,家庭收纳用具,收纳袋,压缩袋"
50002777,枕头/枕芯/保健枕/颈椎枕,"床上用品,枕头/枕芯/保健枕/颈椎枕"
50002791,空调罩,"居家布艺,防尘保护罩,空调罩"
50002795,桌椅脚套/桌脚垫,"居家布艺,餐桌布艺,桌椅脚套/桌脚垫"
50002798,碗,"餐饮具,餐具,碗"
50002800,餐具笼/架,"餐饮具,餐具,餐具笼/架"
50002812,微波炉手套,"厨房/烹饪用具,厨用小工具/厨房储物,厨房电器配套用品,微波炉手套"
50002816,梳子/化妆梳/按摩梳,"家庭/个人清洁工具,个人洗护清洁用具,梳子/便携用镜,梳子/化妆梳/按摩梳"
50002817,医药箱,"收纳整理,家庭收纳用具,储物箱,医药箱"
50003326,键盘刷,"3C数码配件,笔记本电脑配件,键盘刷"
50003338,瓷砖/玻璃贴,"家居饰品,贴饰,瓷砖/玻璃贴"
50003447,牙签筒,"收纳整理,家庭收纳用具,收纳罐,牙签筒"
50003448,杯垫,"餐饮具,杯子/水杯/水壶,杯垫"
50003452,马桶套/马桶座圈,"家庭/个人清洁工具,卫浴/置物用具,马桶套/马桶座圈"
50003453,储蓄罐,"节庆用品/礼品,创意礼品,储蓄罐"
50003457,开关套,"居家布艺,防尘保护罩,开关套"
50003458,口罩,"居家日用,防护用品,口罩"
50003460,挂钩/粘钩,"收纳整理,家庭整理用具,挂钩/粘钩"
50003760,开瓶器,"餐饮具,酒壶/酒杯/酒具,开瓶器"
50003817,牙刷架/牙具座,"家庭/个人清洁工具,卫浴/置物用具,牙刷架/牙具座"
50003821,浴室用品套件,"家庭/个人清洁工具,卫浴/置物用具,浴室用品套件"
50003841,马桶刷/厕所刷,"家庭/个人清洁工具,卫浴/置物用具,马桶刷/厕所刷"
50004407,钥匙扣,"节庆用品/礼品,创意礼品,钥匙扣"
50004413,厨房用刷,"家庭/个人清洁工具,家务/地板清洁用具,刷子,厨房用刷"
50004415,垃圾袋,"家庭/个人清洁工具,家务/地板清洁用具,垃圾袋"
50004416,垃圾桶,"家庭/个人清洁工具,家务/地板清洁用具,垃圾桶/垃圾架,垃圾桶"
50004418,便条夹/照片夹,"电子词典/电纸书/文化用品,收纳/陈列用品,便条夹/照片夹"
50004998,美容修剪器,"美容美体仪器,美容/美体辅助工具,美容修剪器"
50005026,布贴,"居家布艺,缝纫DIY材料、工具及成品,缝纫DIY配件/辅料/配饰,布贴"
50005031,绳子,"居家布艺,缝纫DIY材料、工具及成品,缝纫DIY配件/辅料/配饰,绳子"
50005055,脏衣篮,"收纳整理,家庭收纳用具,收纳篮,脏衣篮"
50005058,衣架,"收纳整理,衣物洗/晒/护理用具,衣架"
50005090,各类尺/三角板,"电子词典/电纸书/文化用品,绘图测量用品,各类尺/三角板"
50005113,圆规,"电子词典/电纸书/文化用品,绘图测量用品,圆规"
50005114,书立/阅读架,"电子词典/电纸书/文化用品,收纳/陈列用品,书立/阅读架"
50005118,胶带/胶纸/胶条,"电子词典/电纸书/文化用品,胶粘用品,胶带/胶纸/胶条"
50005120,票夹/长尾夹,"电子词典/电纸书/文化用品,装订用品,票夹/长尾夹"
50005122,卷笔刀/削笔器,"电子词典/电纸书/文化用品,日常学习用品,卷笔刀/削笔器"
50005212,油壶,"ZIPPO/瑞士军刀/眼镜,品牌打火机及配件,打火机配件/工具,油壶"
50005216,其它,"ZIPPO/瑞士军刀/眼镜,品牌打火机及配件,打火机配件/工具,其它"
50005264,耳机绕线器,"3C数码配件,数码包/收纳/整理,耳机绕线器"
50005266,手机耳机,"影音电器,手机耳机"
50005269,筷子,"餐饮具,餐具,筷子"
50005501,挂袋,"居家布艺,防尘保护罩,挂袋"
50005722,笔记本多功能支架/桌,"3C数码配件,笔记本电脑配件,笔记本多功能支架/桌"
50005737,订书机,"电子词典/电纸书/文化用品,装订用品,订书机"
50005749,剪刀,"电子词典/电纸书/文化用品,裁剪用品,剪刀"
50005750,美工刀,"电子词典/电纸书/文化用品,裁剪用品,美工刀"
50005823,书签,"电子词典/电纸书/文化用品,纸张本册,书签"
50006008,其它,"孕妇装/孕产妇用品/营养,待产用品,其它"
50006049,沥水篮,"家装主材,厨房,水槽配件,沥水篮"
50006062,隔音耳塞,"五金/工具,手动工具,其他手动工具,隔音耳塞"
50006101,其它,"床上用品,其它"
50006125,隔音耳塞,"居家日用,防护用品,隔音耳塞"
50006217,其它,"童装/婴儿装/亲子装,其它"
50006236,竹炭包/炭盒/活性炭,"居家日用,家居健康用品,竹炭包/炭盒/活性炭"
50006277,其它,"居家日用,其它"
50006280,牙线/牙线棒,"洗护清洁剂/卫生巾/纸/香薰,口腔护理,牙线/牙线棒"
50006502,防撞角,"尿片/洗护/喂哺/推车床,防撞/提醒/安全/保护,防撞角"
50006532,鞋垫,"居家日用,鞋用品,鞋垫"
50006533,鞋架,"住宅家具,架类,鞋架"
50006551,鞋刷/鞋擦,"居家日用,鞋用品,鞋刷/鞋擦"
50006552,乳液器,"家庭/个人清洁工具,卫浴/置物用具,乳液器"
50006687,指甲钳,"家庭/个人清洁工具,个人洗护清洁用具,指甲刀/指甲钳,指甲钳"
50006741,钥匙扣,"居家布艺,十字绣及工具配件,十字绣配件,钥匙扣"
50006742,杯垫,"居家布艺,十字绣及工具配件,十字绣配件,杯垫"
50006743,书签,"居家布艺,十字绣及工具配件,十字绣配件,书签"
50006747,线盒,"居家布艺,十字绣及工具配件,十字绣工具,线盒"
50006750,首饰盒,"居家布艺,十字绣及工具配件,十字绣配件,首饰盒"
50006753,搅拌棒,"厨房/烹饪用具,厨用小工具/厨房储物,搅拌棒"
50006759,水果叉/水果签,"餐饮具,餐具,水果叉/水果签"
50006761,蛋清分离器,"厨房/烹饪用具,厨用小工具/厨房储物,鸡蛋加工,蛋清分离器"
50006770,冰格/制冰袋,"厨房/烹饪用具,厨用小工具/厨房储物,厨房电器配套用品,冰格/制冰袋"
50006774,水果削皮器,"厨房/烹饪用具,烹饪用具,刀具,水果削皮器"
50006777,汤勺,"厨房/烹饪用具,烹饪用具,烹饪勺铲,汤勺"
50006782,咖啡勺,"餐饮具,咖啡器具,咖啡勺"
50006785,木铲,"厨房/烹饪用具,烹饪用具,烹饪勺铲,木铲"
50006828,剪刀,"居家布艺,十字绣及工具配件,十字绣工具,剪刀"
50006846,短袜/打底袜/丝袜/美腿袜,"女士内衣/男士内衣/家居服,短袜/打底袜/丝袜/美腿袜"
50006850,玻璃清洁器及配件,"家庭/个人清洁工具,家务/地板清洁用具,玻璃清洁器及配件"
50006856,浴室角架/置物架,"家庭/个人清洁工具,卫浴/置物用具,浴室角架/置物架"
50006858,厨房置物架/角架,"厨房/烹饪用具,厨用小工具/厨房储物,厨房储物架/厨房置物架,厨房置物架/角架"
50006863,水塞,"家庭/个人清洁工具,卫浴/置物用具,水塞"
50006865,玻璃杯,"餐饮具,杯子/水杯/水壶,玻璃杯"
50006888,吸管杯,"餐饮具,杯子/水杯/水壶,吸管杯"
50006889,保温杯,"餐饮具,杯子/水杯/水壶,保温杯"
50006895,油壶,"厨房/烹饪用具,厨用小工具/厨房储物,储物瓶罐/厨房储物器皿,油壶"
50006897,随手杯,"餐饮具,杯子/水杯/水壶,随手杯"
50006943,饭盒/保温桶/保温提锅,"餐饮具,餐具,饭盒/保温桶/保温提锅"
50006945,鱼鳞刨,"厨房/烹饪用具,烹饪用具,刀具,鱼鳞刨"
50006986,毛巾挂/毛巾架,"家庭/个人清洁工具,卫浴/置物用具,毛巾挂/毛巾架"
50006989,束发带,"家庭/个人清洁工具,个人洗护清洁用具,束发带"
50006990,管道疏通器,"家庭/个人清洁工具,卫浴/置物用具,管道疏通器"
50006995,手套,"童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,手套"
50007003,围巾/丝巾/披肩,"服饰配件/皮带/帽子/围巾,围巾/丝巾/披肩"
50007005,耳勺,"家庭/个人清洁工具,个人洗护清洁用具,耳勺"
50007006,眼罩,"居家日用,防护用品,眼罩"
50007065,其它,"家庭/个人清洁工具,家务/地板清洁用具,刷子,其它"
50007125,贺卡/卡片,"节庆用品/礼品,贺卡/卡片"
50007167,洗漱包,"家庭/个人清洁工具,个人洗护清洁用具,洗漱包"
50008059,其它,"零食/坚果/特产,其它"
50008064,其它,"水产肉类/新鲜蔬果/熟食,新鲜水果,其它"
50008282,其它,"厨房/烹饪用具,厨用小工具/厨房储物,其它"
50008324,其他架类,"住宅家具,架类,其他架类"
50008360,护洗袋,"收纳整理,衣物洗/晒/护理用具,护洗袋"
50008438,其它,"粮油米面/南北干货/调味品,方便速食,其它"
50008554,吸尘器,"生活电器,吸尘器"
50008608,手巾/手帕,"居家布艺,毛巾/浴巾/浴袍,手巾/手帕"
50008626,皂盒,"家庭/个人清洁工具,卫浴/置物用具,皂盒"
50008798,其它,"基础建材,其它"
50009037,耳套,"服饰配件/皮带/帽子/围巾,耳套"
50009048,鞋垫,"服饰配件/皮带/帽子/围巾,鞋包/皮带配件,鞋子配件,鞋垫"
50009049,鞋带,"服饰配件/皮带/帽子/围巾,鞋包/皮带配件,鞋子配件,鞋带"
50009189,礼品盒,"包装,礼品包装,礼品盒"
50009190,礼品袋/塑料袋,"包装,礼品包装,礼品袋/塑料袋"
50009202,随身化妆镜,"家庭/个人清洁工具,个人洗护清洁用具,梳子/便携用镜,随身化妆镜"
50009205,美甲/修甲套装,"家庭/个人清洁工具,个人洗护清洁用具,指甲刀/指甲钳,美甲/修甲套装"
50009211,移动电源,"3C数码配件,移动电源"
50009213,笔筒,"节庆用品/礼品,创意礼品,笔筒"
50009221,音乐盒,"节庆用品/礼品,创意礼品,音乐盒"
50009227,裤架,"收纳整理,衣物洗/晒/护理用具,裤架"
50009249,其它,"ZIPPO/瑞士军刀/眼镜,品牌打火机及配件,其他打火机,其它"
50009283,时尚烟灰缸,"节庆用品/礼品,创意礼品,时尚烟灰缸"
50009344,其它,"鲜花速递/花卉仿真/绿植园艺,婚礼鲜花布置,其它"
50009535,手提秤/挂秤,"厨房/烹饪用具,厨用小工具/厨房储物,厨房秤/计量秤,手提秤/挂秤"
50009836,其它,"粮油米面/南北干货/调味品,食用油/调味油,其它"
50009840,其它,"粮油米面/南北干货/调味品,米/面粉/杂粮,豆类,其它"
50009845,其它,"水产肉类/新鲜蔬果/熟食,新鲜蔬菜/蔬菜制品,新鲜蔬菜,其它"
50009960,鞋套,"居家日用,鞋用品,鞋套"
50010021,红包/利是封,"节庆用品/礼品,红包/利是封"
50010401,卷/直发器,"个人护理/保健/按摩器材,卷/直发器"
50010410,手套,"服饰配件/皮带/帽子/围巾,手套"
50010419,叉/勺/筷套装,"餐饮具,餐具,叉/勺/筷套装"
50010465,迷你风扇,"居家日用,扇/迷你风扇/配件/冰垫/冰贴,迷你风扇"
50010466,扇子,"居家日用,扇/迷你风扇/配件/冰垫/冰贴,扇子"
50010472,毛球修剪器,"收纳整理,衣物洗/晒/护理用具,毛球修剪器"
50010593,车用炭类吸附品,"汽车/用品/配件/改装,汽车用品/内饰品,汽车香水/净化/降温剂,车用炭类吸附品"
50010813,身体彩绘,"彩妆/香水/美妆工具,身体彩绘"
50010817,化妆/美容工具,"彩妆/香水/美妆工具,其他美容工具,化妆/美容工具"
50011037,增高垫,"服饰配件/皮带/帽子/围巾,鞋包/皮带配件,鞋子配件,增高垫"
50011039,后跟贴,"服饰配件/皮带/帽子/围巾,鞋包/皮带配件,鞋子配件,后跟贴"
50011040,鞋撑,"服饰配件/皮带/帽子/围巾,鞋包/皮带配件,鞋子配件,鞋撑"
50011041,钥匙扣,"服饰配件/皮带/帽子/围巾,鞋包/皮带配件,包配件,钥匙扣"
50011043,鞋扣,"服饰配件/皮带/帽子/围巾,鞋包/皮带配件,鞋子配件,鞋扣"
50011173,防蚊贴/防蚊手环,"居家日用,驱虫用品,防蚊贴/防蚊手环"
50011176,清凉油/防暑/醒神药油,"洗护清洁剂/卫生巾/纸/香薰,身体护理,清凉油/防暑/醒神药油"
50011403,书皮,"电子词典/电纸书/文化用品,日常学习用品,书皮"
50011415,开关贴,"家居饰品,贴饰,开关贴"
50011696,漏斗,"餐饮具,酒壶/酒杯/酒具,漏斗"
50011738,墙贴,"家居饰品,贴饰,墙贴"
50011746,拖鞋,"流行男鞋,拖鞋"
50011755,别针/回形针,"电子词典/电纸书/文化用品,装订用品,别针/回形针"
50011890,镜布,"ZIPPO/瑞士军刀/眼镜,眼镜配件、护理剂,镜布"
50011891,隐形眼镜伴侣盒,"ZIPPO/瑞士军刀/眼镜,眼镜配件、护理剂,隐形眼镜伴侣盒"
50011905,文具套装/礼盒,"电子词典/电纸书/文化用品,日常学习用品,文具套装/礼盒"
50012010,女士包袋,"箱包皮具/热销女包/男包,女士包袋"
50012028,靴子,"女鞋,靴子"
50012032,凉鞋,"女鞋,凉鞋"
50012033,拖鞋,"女鞋,拖鞋"
50012075,购物袋/环保袋,"收纳整理,家庭收纳用具,收纳袋,购物袋/环保袋"
50012076,饭盒袋,"收纳整理,家庭收纳用具,收纳袋,饭盒袋"
50012226,防撞条,"尿片/洗护/喂哺/推车床,防撞/提醒/安全/保护,防撞条"
50012349,拖鞋,"童鞋/婴儿鞋/亲子鞋,拖鞋"
50012387,其它,"水产肉类/新鲜蔬果/熟食,蛋/蛋制品,鲜活蛋类,其它"
50012395,其它,"粮油米面/南北干货/调味品,南北干货/肉类干货,干货/土特产,其它"
50012410,斜挎包/拎包/腰包,"玩具/童车/益智/积木/模型,儿童包/背包/箱包,斜挎包/拎包/腰包"
50012478,抽纸,"洗护清洁剂/卫生巾/纸/香薰,纸品/湿巾,抽纸"
50012480,手帕纸,"洗护清洁剂/卫生巾/纸/香薰,纸品/湿巾,手帕纸"
50012501,锡纸/油纸,"厨房/烹饪用具,烧烤/烘焙用具,烧烤架炉/烧烤DIY用具,锡纸/油纸"
50012508,烘焙用纸,"厨房/烹饪用具,烧烤/烘焙用具,烘培DIY器具,烘焙用纸"
50012517,护目镜,"居家日用,防护用品,护目镜"
50012646,资料册,"电子词典/电纸书/文化用品,收纳/陈列用品,资料册"
50012665,风琴包/事务包,"电子词典/电纸书/文化用品,收纳/陈列用品,风琴包/事务包"
50012668,卡套/证件套,"电子词典/电纸书/文化用品,收纳/陈列用品,卡套/证件套"
50012677,笔记本/记事本,"电子词典/电纸书/文化用品,纸张本册,笔记本/记事本"
50012682,素描/素写本,"电子词典/电纸书/文化用品,画具/画材/书法用品,素描/素写本"
50012684,便签本/便条纸/N次贴,"电子词典/电纸书/文化用品,纸张本册,便签本/便条纸/N次贴"
50012707,包装纸,"电子词典/电纸书/文化用品,纸张本册,包装纸"
50012717,钢笔,"电子词典/电纸书/文化用品,笔类/书写工具,钢笔"
50012718,圆珠笔,"电子词典/电纸书/文化用品,笔类/书写工具,圆珠笔"
50012719,宝珠/走珠/签字笔,"电子词典/电纸书/文化用品,笔类/书写工具,宝珠/走珠/签字笔"
50012720,中性笔,"电子词典/电纸书/文化用品,笔类/书写工具,中性笔"
50012721,马克笔,"电子词典/电纸书/文化用品,笔类/书写工具,马克笔"
50012722,记号笔,"电子词典/电纸书/文化用品,笔类/书写工具,记号笔"
50012723,白板笔,"电子词典/电纸书/文化用品,教学演示/展示告示用品,白板笔"
50012724,水彩笔,"电子词典/电纸书/文化用品,画具/画材/书法用品,水彩笔"
50012725,荧光笔,"电子词典/电纸书/文化用品,笔类/书写工具,荧光笔"
50012726,油漆笔,"电子词典/电纸书/文化用品,笔类/书写工具,油漆笔"
50012730,勾线笔,"电子词典/电纸书/文化用品,画具/画材/书法用品,勾线笔"
50012751,替芯/铅芯,"电子词典/电纸书/文化用品,笔类/书写工具,替芯/铅芯"
50012767,其它功能笔,"电子词典/电纸书/文化用品,笔类/书写工具,其它功能笔"
50012783,同学录/纪念册,"电子词典/电纸书/文化用品,纸张本册,同学录/纪念册"
50012784,肩带,"女士内衣/男士内衣/家居服,肩带"
50012921,米桶/米缸,"厨房/烹饪用具,厨用小工具/厨房储物,储物瓶罐/厨房储物器皿,米桶/米缸"
50012922,密封罐,"厨房/烹饪用具,厨用小工具/厨房储物,储物瓶罐/厨房储物器皿,密封罐"
50012928,衣物除尘滚/粘毛滚,"收纳整理,衣物洗/晒/护理用具,衣物除尘滚/粘毛滚"
50012950,定时器/计时器/提醒器,"厨房/烹饪用具,厨用小工具/厨房储物,定时器/计时器/提醒器"
50013216,其它,"电子词典/电纸书/文化用品,画具/画材/书法用品,其它"
50013343,座便器配件,"家装主材,卫浴用品,坐便器,座便器配件"
50013347,花洒配件,"家装主材,卫浴用品,卫浴龙头,花洒配件"
50013466,胶带,"基础建材,家用五金,其他五金件,胶带"
50013478,账本/账册,"电子词典/电纸书/文化用品,财会用品,账本/账册"
50013491,印台,"电子词典/电纸书/文化用品,财会用品,印台"
50013596,其它,"家装主材,其它"
50013668,钢直尺,"五金/工具,手动工具,测量工具,钢直尺"
50013799,过滤器/净水器,"家装主材,卫浴用品,卫浴五金/挂件,过滤器/净水器"
